State,Unemployment_Num,Unemployment_Den,Unemployment_Perc,Uninsured_Num,Uninsured_Den,Uninsured_Perc,Uninsured_Adults_Num,Uninsured_Adults_Den,Uninsured_Adults_Perc,Uninsured_Children_Num,Uninsured_Children_Den,Uninsured_Children_Perc,Diabetes_Prevalence_Num,Diabetes_Prevalence_Den,Diabetes_Prevalence_Perc,HIV_Prevalence_Num,HIV_Prevalence_Den,HIV_Prevalence_Perc,Adult_Obesity_Num,Adult_Obesity_Den,Adult_Obesity_Perc,Violent_Crimes_Num,Violent_Crimes_Den,Violent_Crimes_Perc,Injury_Deaths_Num,Injury_Deaths_Den,Injury_Deaths_Perc,Homicides_Num,Homicides_Den,Homicides_Perc,Firearms_Fatality_Num,Firearms_Fatality_Den,Firearms_Fatalities_Perc,Drugs_Overdose_Death_Num,Drugs_Overdose_Death_Den,Drugs_Overdose_Deaths_Perc,Premature_Deaths_Num,Premature_Deaths_Den,Premature_Deaths_Perc,Low_Birth_Weight_Num,Low_Birth_Weight_Den,Low_Birth_Weight_Perc
MS,129918.0,2560162.0,0.050746007479214206,685336.0,4902320.0,0.13979829958060674,622720.0,3490670.0,0.1783955515703289,69708.0,1485608.0,0.04692220289605333,614090.0,4361153.053831,0.14080909163702943,18213.0,4934276.0,0.0036911190213113334,1592180.0,4359833.957851,0.3651928067427594,13078.0,4660095.5,0.002806380255511931,25403.0,29894128.0,0.0008497655459292875,4353.0,39543976.0,0.00011007997779484794,5664.0,29342272.0,0.00019303208694950412,1892.0,14900453.0,0.00012697600536037395,100514.0,16818457.0,0.005976410321113287,62218.0,538942.0,0.11544470462498747
MT,42354.0,1050914.0,0.040302060872726024,168462.0,1676564.0,0.10048050655984501,146852.0,1230948.0,0.11929992168637506,23834.0,467794.0,0.05094977703861101,129248.0,1559814.0723302998,0.0828611578089616,1072.0,1548901.0,0.0006921036270232894,395384.0,1559647.9119449002,0.2535084982782757,6698.5,2057757.5,0.0032552426610035438,9500.0,10268925.0,0.0009251211787017628,406.0,12190604.0,3.3304338324827875e-05,1836.0,9503764.0,0.00019318661532420208,657.0,5321926.0,0.00012345154742850615,26271.0,5777149.0,0.004547398725565153,12712.0,170240.0,0.07467105263157894
NC,449736.0,9883404.0,0.04550416030752158,2046214.0,16710914.0,0.1224477607867529,1845248.0,12191550.0,0.1513546677821934,221154.0,4752296.0,0.046536242691953535,1642714.0,14951782.774277002,0.10986743352278498,57548.0,16782406.0,0.003429067322051439,4510980.0,14959889.078210996,0.3015383320301632,66605.0,19379951.5,0.003436799106540592,71790.0,100510066.0,0.0007142568188145454,8243.0,135214063.0,6.0962593809491545e-05,13081.0,100195524.0,0.00013055473416157792,11775.0,60240628.0,0.00019546608976254363,263022.0,57149990.0,0.004602310516589767,151944.0,1682800.0,0.09029236985975754
ND,21582.0,828810.0,0.0260397437289608,95366.0,1259192.0,0.07573586871581141,71084.0,912386.0,0.07791000738722427,26258.0,362706.0,0.07239472189597085,95080.0,1119179.0107786001,0.08495513147075008,623.0,1090345.0,0.000571378783779446,360110.0,1118576.397589,0.32193599004608686,3600.5,1494265.5,0.002409545023959932,5093.0,7368305.0,0.0006912037436018188,160.0,7386676.0,2.166062245047705e-05,819.0,6584867.0,0.00012437608838568797,328.0,3486664.0,9.407272969233629e-05,15059.0,4221442.0,0.003567264456079226,9563.0,148151.0,0.06454900743160694
NE,59144.0,2014042.0,0.029365822559807592,307868.0,3158378.0,0.09747661616184003,262280.0,2228864.0,0.11767429506690404,49718.0,973326.0,0.05108052183954811,245982.0,2739367.6200623997,0.08979517688626136,2703.0,2628125.0,0.0010284898929845423,855666.0,2740305.4095309,0.3122520566590705,10492.5,3711035.0,0.0028273783459331426,10937.0,18816595.0,0.0005812422491954575,789.0,20293465.0,3.887951121210695e-05,1462.0,16562458.0,8.827192195747756e-05,650.0,8856678.0,7.339094861527088e-05,38943.0,10653623.0,0.0036553762039448928,25090.0,365668.0,0.06861415272870473
NH,39886.0,1493102.0,0.02671351320941235,156042.0,2152574.0,0.07249088765357195,142234.0,1639148.0,0.0867731284789415,15250.0,542368.0,0.028117440556965013,191912.0,2061673.9082699998,0.09308552590697429,2446.0,2296987.0,0.0010648732448202798,576096.0,2059518.0061400002,0.2797237015080696,5148.5,2598308.5,0.0019814814137736145,10684.0,13316940.0,0.0008022864111424997,233.0,16280639.0,1.431147757775355e-05,1228.0,13316940.0,9.221337634621768e-05,2740.0,8016396.0,0.00034179948196171945,30638.0,7466584.0,0.004103349001363944,11964.0,173160.0,0.06909216909216909
NJ,418254.0,9037674.0,0.04627894301122169,1362694.0,14888676.0,0.09152553255910734,1228340.0,10956940.0,0.11210611721885855,149414.0,4143050.0,0.03606376944521548,1223088.0,13429893.370449997,0.09107205591752347,69622.0,15044831.0,0.0046276358970067525,3521498.0,13436006.450319998,0.2620940986461145,45019.0,17882644.0,0.002517468893302355,47322.0,89491280.0,0.000528788950163636,5416.0,123980142.0,4.3684415202557195e-05,4824.0,89491280.0,5.39046932840831e-05,12390.0,53816252.0,0.00023022785012973405,177876.0,50211570.0,0.0035425301379741763,117960.0,1445344.0,0.08161378882812673
NM,114378.0,1859144.0,0.06152186167397469,379930.0,3403182.0,0.11163963608176113,327652.0,2433018.0,0.13466895847050864,58204.0,1021778.0,0.05696344998620052,268386.0,3052700.484160899,0.08791756721386039,6362.0,3409175.0,0.0018661406351976652,784700.0,3060454.2338142986,0.2563998478820624,26293.5,4127717.0,0.006369986120657012,21105.0,20846675.0,0.0010123916643781322,2052.0,28129570.0,7.294814673669026e-05,3628.0,20641005.0,0.0001757666353939646,2949.0,12271059.0,0.00024032155659914928,54436.0,11674312.0,0.004662887200547664,32196.0,361052.0,0.08917275073950566
NV,147164.0,2925904.0,0.050296933870694324,647054.0,4921986.0,0.13146197490200093,556012.0,3587672.0,0.1549784930171989,100266.0,1400818.0,0.07157675015598029,433302.0,4314892.6118936995,0.10042011214963574,17680.0,4772042.0,0.003704912907304672,1139052.0,4294804.613616601,0.26521625602912324,37860.0,5779067.5,0.006551229934587198,21431.0,28906366.0,0.000741393781563549,2359.0,39319286.0,5.99960029793013e-05,4524.0,28771488.0,0.0001572389999432772,3885.0,17492007.0,0.00022210144324776455,74740.0,16657640.0,0.004486830067164376,41766.0,498412.0,0.08379814290185629
NY,910948.0,19409400.0,0.046933341576761774,2303990.0,32598930.0,0.0706768596392581,2104572.0,24381358.0,0.08631889987423998,222616.0,8656504.0,0.025716617239476814,2956460.0,30054408.374777008,0.09837026113218027,253339.0,33456937.0,0.007572091850488286,7725358.0,30051237.501412004,0.25707287427471204,150057.5,39454908.0,0.0038032657432631703,93414.0,197575666.0,0.0004728011393872766,9320.0,263464277.0,3.5374814779917964e-05,8493.0,197178448.0,4.307265873195229e-05,20604.0,118494956.0,0.00017388081902828,379138.0,110778996.0,0.0034224718916932594,263646.0,3314066.0,0.07955363592638168
